neighbourhood,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
18,40.65216,-73.96119,3,219,4.73,1,286,55
4,40.78583,-73.9768,3,2,0.04,1,0,55
1,40.67831,-73.93903,3,3,0.07,1,342,65
9,40.74911,-73.9877,3,0,0.0,1,0,300
2,40.80582,-73.95355,5,11,0.82,1,0,150
5,40.76859,-73.9872,1,5,0.14,1,0,79
5,40.76599,-73.98388,1,0,0.0,1,0,152
2,40.82244,-73.94773,3,102,2.66,1,247,124
58,40.63421,-74.0263,2,36,0.94,1,281,85
2,40.80311,-73.94858,3,6,0.13,3,349,100
3,40.70054,-73.91185,4,8,0.22,2,0,82
119,40.83746,-73.92268,4,51,1.11,2,0,59
6,40.72137,-73.97786,1,5,0.11,1,0,75
1,40.69067,-73.92643,1,2,0.04,1,0,65
102,40.63378,-74.08726,1,0,0.0,1,0,50
0,40.71495,-73.96321,2,12,0.26,1,0,65
12,40.74501,-73.99725,3,10,0.33,1,0,109
50,40.68863,-73.98935,1,151,3.37,1,325,59
7,40.76436,-73.96471,4,7,0.16,1,188,300
24,40.69371,-73.97076,6,12,0.32,1,188,135
10,40.79771,-73.93449,2,1,0.02,1,0,110
6,40.72369,-73.98998,2,1,0.02,1,0,300
15,40.83368,-73.94314,4,0,0.0,1,0,80
7,40.77372,-73.94803,5,7,0.15,1,341,185
30,40.64985,-74.00207,6,26,0.57,1,160,35
0,40.71599,-73.95514,5,0,0.0,1,0,250
4,40.76974,-73.98743,2,2,0.05,1,0,90
49,40.75819,-73.87504,1,209,4.53,2,1,50
11,40.72403,-73.94306,7,11,0.24,1,0,60
0,40.71602,-73.94645,3,1,0.05,1,0,70
4,40.77915,-73.97794,2,3,0.06,1,0,130
144,40.82939,-73.86514,2,98,2.12,3,108,28
1,40.68293,-73.93437,14,0,0.0,1,0,35
0,40.7127,-73.94048,3,10,0.22,1,0,110
8,40.67416,-73.93854,1,3,0.06,1,0,70
0,40.71109,-73.95918,2,7,0.15,1,0,200
17,40.70963,-74.00759,2,71,1.55,1,0,90
28,40.70928,-73.89795,5,3,0.16,1,0,139
5,40.7595,-73.98967,1,13,0.28,1,188,360
9,40.74268,-73.98401,4,15,0.33,1,7,185
32,40.74592,-73.92399,1,0,0.0,1,0,95
0,40.71116,-73.94014,1,2,0.05,2,0,100
9,40.76146,-73.96649,3,67,1.64,1,265,195
6,40.72625,-73.98173,3,4,0.09,1,0,235
11,40.72321,-73.9433,3,107,2.38,2,277,150
15,40.8484,-73.93972,2,1,0.16,2,0,70
6,40.72696,-73.98406,2,2,0.04,2,0,95
5,40.76041,-73.99496,6,15,0.44,1,364,450
2,40.82355,-73.94881,2,0,0.0,1,0,50
4,40.79879,-73.96721,1,9,0.19,1,0,100
8,40.66852,-73.9425,1,1,0.02,1,0,160
0,40.71193,-73.94266,1,9,0.19,1,35,65
48,40.75273,-73.87144,2,166,3.63,1,195,104
13,40.71915,-73.98546,2,12,0.26,1,0,60
3,40.69882,-73.91771,7,0,0.0,1,0,60
3,40.7034,-73.9296,2,0,0.0,1,0,50
36,40.73572,-73.98735,2,134,3.2,4,270,190
11,40.72522,-73.94563,6,0,0.0,1,0,60
1,40.69181,-73.9463,3,18,0.39,1,0,55
8,40.67352,-73.95633,7,45,1.06,3,161,80
149,40.73351,-73.71299,2,39,0.85,1,222,65
5,40.75711,-73.99665,2,20,0.43,1,0,235
13,40.71978,-73.98424,2,6,0.13,1,0,205
19,40.69561,-73.969,3,1,0.02,1,0,109
19,40.68255,-73.96167,2,12,0.26,1,0,85
21,40.65661,-73.96144,1,169,4.11,1,233,80
6,40.73106,-73.98467,3,4,0.09,1,0,120
5,40.75548,-73.99706,1,1,0.02,1,0,130
4,40.80109,-73.97093,4,46,1.02,1,207,190
9,40.75188,-73.97252,2,0,0.0,1,0,455
2,40.8022,-73.95737,4,2,0.04,1,0,99
15,40.84747,-73.94279,30,0,0.0,1,0,125
1,40.68881,-73.92805,4,3,0.35,2,157,52
1,40.68942,-73.9287,4,5,0.11,2,50,110
28,40.70588,-73.90821,2,0,0.0,1,0,75
31,40.71707,-73.99066,3,1,0.02,2,0,99
4,40.77697,-73.97698,1,163,3.55,1,32,137
25,40.7465,-73.97734,5,2,0.04,1,0,85
9,40.75287,-73.97439,10,3,0.13,1,14,149
0,40.71175,-73.96092,2,13,0.28,1,0,124
6,40.72529,-73.97756,2,23,0.51,1,0,125
13,40.71323,-73.9878,1,212,4.64,1,41,70
14,40.76615,-73.91325,1,6,0.13,5,323,99
14,40.76799,-73.91234,1,2,0.04,5,138,109
15,40.85432,-73.93198,1,28,0.64,3,364,235
8,40.67501,-73.95873,2,20,0.44,1,0,95
13,40.71978,-73.98705,2,8,0.17,4,297,250
33,40.72607,-74.00166,1,152,3.34,2,9,95
7,40.77564,-73.9533,1,71,1.55,2,186,85
29,40.72815,-74.00084,4,4,0.09,1,0,190
6,40.72831,-73.98481,1,2,0.04,2,0,125
41,40.87126,-73.91722,2,20,0.46,2,164,125
4,40.8037,-73.96803,1,31,0.69,5,188,374
8,40.66999,-73.94735,2,2,0.04,1,364,160
10,40.79866,-73.94148,1,0,0.0,1,0,59
3,40.70337,-73.93071,2,171,3.74,1,183,70
23,40.63401,-73.93808,1,47,1.03,1,348,55
7,40.78465,-73.94914,1,7,0.2,1,0,100
7,40.76301,-73.96734,1,60,1.31,3,351,95
13,40.72116,-73.99124,30,8,0.2,7,4,250
22,40.67307,-73.97235,1,1,0.03,1,0,95
49,40.7568,-73.88894,2,9,0.2,2,331,89
9,40.74568,-73.98324,7,8,0.18,1,302,285
51,40.71924,-74.01165,2,2,0.04,1,0,127
95,40.7139,-74.00621,1,0,0.0,1,0,150
4,40.78385,-73.97466,30,1,0.02,1,0,225
4,40.79893,-73.96769,4,1,0.02,1,0,150
1,40.67968,-73.90764,1,2,0.04,1,0,50
2,40.82497,-73.94595,1,1,0.16,2,363,60
12,40.73983,-74.00102,7,6,0.14,1,0,275
26,40.74088,-73.98285,1,8,0.17,1,0,65
0,40.71032,-73.9517,1,215,4.68,1,232,80
14,40.75763,-73.91389,5,2,0.04,2,0,130
20,40.74534,-73.95557,2,0,0.0,1,0,199
8,40.67763,-73.95943,1,5,0.11,1,0,65
0,40.70727,-73.94025,2,1,0.02,1,0,75
1,40.68251,-73.91944,1,52,1.82,4,359,200
35,40.80773,-73.95977,4,2,0.05,1,0,40
2,40.82725,-73.9453,2,9,0.29,1,0,68
100,40.68053,-74.00387,3,15,0.33,1,356,130
4,40.7786,-73.98554,3,79,2.19,2,20,135
4,40.77875,-73.9875,5,25,0.54,2,70,165
6,40.72767,-73.98452,1,2,0.04,1,0,250
14,40.76541,-73.92009,1,1,0.02,1,363,52
16,40.73798,-73.99963,2,1,0.03,1,0,170
1,40.69498,-73.94237,5,0,0.0,1,0,42
0,40.70496,-73.93689,3,2,0.04,1,0,65
30,40.64685,-74.01097,3,34,0.75,1,0,80
7,40.77964,-73.95474,2,5,0.11,1,0,130
7,40.76693,-73.95911,7,2,0.05,1,0,140
36,40.73809,-73.98215,2,2,0.04,1,0,200
1,40.69504,-73.94807,1,14,0.3,1,0,55
3,40.7012,-73.92682,3,0,0.0,1,0,50
7,40.77843,-73.95191,2,1,0.02,1,0,175
5,40.76326,-73.99142,1,0,0.0,1,0,500
31,40.71879,-73.99586,2,4,0.09,1,18,99
7,40.77532,-73.95132,2,0,0.0,1,0,650
13,40.71297,-73.98561,1,4,0.09,1,0,200
2,40.81646,-73.9369,1,0,0.0,1,0,180
14,40.76404,-73.91174,4,86,1.88,1,324,75
13,40.71435,-73.98924,6,7,0.23,1,0,90
43,40.74537,-73.88337,1,12,0.26,1,0,51
3,40.70374,-73.93016,5,1,0.02,1,0,62
18,40.63682,-73.9676,3,0,0.0,2,0,70
3,40.69856,-73.93087,1,1,0.02,1,0,90
3,40.70145,-73.93798,3,1,0.02,1,0,45
4,40.80096,-73.96671,1,7,0.15,1,0,109
6,40.72612,-73.99043,3,98,2.15,1,0,100
1,40.68426,-73.91939,3,63,1.39,1,354,200
6,40.7298,-73.9791,3,86,1.88,1,62,149
46,40.67068,-73.76711,5,29,0.64,1,314,55
13,40.72027,-73.98565,1,0,0.0,1,0,275
52,40.64291,-73.97928,1,1,0.02,1,0,70
1,40.6924,-73.96042,8,41,0.89,4,53,29
55,40.69472,-73.99856,5,94,2.04,1,26,195
4,40.77799,-73.98205,1,2,0.05,1,0,220
14,40.76152,-73.92254,5,30,0.66,2,249,80
14,40.76436,-73.92628,1,5,0.14,1,0,110
7,40.7696,-73.95275,3,31,0.68,3,345,70
31,40.71342,-73.99045,2,47,1.04,1,28,90
0,40.71369,-73.95523,10,2,0.04,1,0,130
38,40.75601,-73.98909,1,3,0.07,1,0,2000
6,40.72948,-73.98856,5,107,2.84,1,12,149
125,40.81773,-73.86164,2,58,1.26,1,324,100
0,40.71263,-73.9591,2,6,0.13,1,0,100
3,40.69999,-73.93863,2,1,0.02,1,0,125
12,40.74041,-74.00141,1,0,0.0,1,0,200
6,40.72689,-73.98676,1,205,4.5,1,349,199
3,40.68623,-73.91374,1,2,0.06,26,365,50
12,40.74026,-74.00091,1,2,0.04,1,0,300
5,40.75744,-73.99269,4,2,0.04,1,0,285
6,40.72903,-73.98938,3,12,0.32,1,58,330
1,40.68793,-73.92179,2,57,1.25,3,117,39
6,40.72184,-73.98165,10,0,0.0,2,0,60
18,40.6394,-73.95136,2,136,3.0,2,265,77
0,40.71383,-73.95273,1,2,0.04,1,0,115
2,40.8294,-73.94695,3,13,0.28,1,0,99
6,40.72613,-73.98062,1,1,0.02,1,0,250
7,40.7851,-73.95254,1,104,2.26,1,333,62
0,40.71323,-73.94866,3,26,0.58,1,0,105
66,40.69474,-73.83038,1,7,0.15,5,344,55
30,40.66406,-73.9949,30,2,0.46,21,362,172
9,40.75547,-73.96467,1,0,0.0,1,0,100
7,40.7818,-73.95122,1,0,0.0,1,0,120
8,40.67677,-73.94804,2,42,0.94,1,354,60
50,40.68347,-73.97971,1,201,4.45,4,5,72
4,40.79401,-73.96432,1,0,0.0,1,0,80
3,40.68821,-73.9187,3,159,3.54,3,231,229
46,40.69872,-73.78614,1,68,1.5,3,349,70
23,40.64487,-73.94919,30,3,0.07,7,360,40
6,40.72904,-73.97946,2,50,1.1,2,131,99
14,40.7657,-73.92469,2,15,0.33,1,318,100
13,40.72195,-73.98797,4,5,0.11,1,0,78
33,40.72792,-74.00323,1,88,1.91,1,320,125
25,40.74648,-73.97726,3,130,2.83,1,249,190
6,40.72367,-73.98131,15,0,0.0,2,0,100
5,40.76366,-73.99438,2,2,0.04,1,0,135
65,40.68665,-73.99151,2,23,1.04,1,0,250
25,40.74469,-73.97443,4,0,0.0,1,0,125
11,40.72361,-73.94123,1,0,0.0,1,0,228
32,40.74854,-73.91338,1,0,0.0,1,0,37
12,40.75215,-74.00426,120,0,0.0,1,0,116
63,40.62419,-73.96287,5,67,1.83,3,27,99
129,40.65918,-73.83038,1,5,0.24,2,0,50
1,40.69562,-73.94734,30,9,0.2,1,0,54
0,40.71179,-73.96092,3,26,0.57,1,0,70
5,40.7633,-73.98591,2,58,2.16,1,42,135
6,40.72828,-73.98602,2,95,2.17,1,0,425
11,40.73248,-73.95237,5,3,0.07,1,189,122
4,40.77205,-73.98924,6,2,0.04,1,0,141
12,40.74789,-73.98953,1,0,0.0,1,0,800
11,40.73464,-73.95413,4,17,0.37,2,159,70
21,40.65685,-73.95287,1,0,0.0,1,0,90
6,40.72623,-73.98452,1,2,0.05,1,0,150
12,40.74068,-74.00279,1,1,0.02,1,0,250
38,40.75731,-73.98435,4,122,2.71,3,29,115
7,40.7796,-73.94806,2,19,0.42,1,0,130
50,40.68498,-73.97856,1,241,5.42,4,4,74
60,40.68173,-73.87314,2,58,1.34,1,248,48
5,40.76389,-73.99072,1,8,0.17,1,0,85
40,40.72271,-73.99545,3,2,0.04,1,0,180
8,40.67902,-73.96101,5,2,0.04,1,0,97
2,40.81951,-73.93715,1,0,0.0,1,0,131
2,40.80255,-73.95347,1,36,2.52,2,365,100
53,40.60676,-73.96012,1,0,0.0,1,0,100
6,40.72249,-73.98042,5,74,1.61,2,0,105
0,40.71894,-73.95713,6,3,0.07,1,0,100
1,40.68528,-73.92296,4,59,1.37,1,242,145
16,40.73932,-74.00382,3,10,0.22,1,88,289
18,40.64697,-73.96465,3,1,0.02,1,0,800
11,40.72564,-73.94885,1,0,0.0,1,0,90
2,40.82855,-73.94033,3,27,0.59,1,0,29
21,40.65869,-73.95652,2,7,0.15,1,0,70
0,40.71795,-73.94273,3,6,0.16,2,0,80
2,40.80458,-73.94888,3,0,0.0,1,0,120
8,40.67649,-73.94657,2,79,1.75,1,268,60
51,40.72075,-74.00982,1,0,0.0,1,0,80
0,40.71681,-73.9408,5,22,0.48,2,359,70
31,40.7148,-73.99248,5,16,0.35,1,0,175
98,40.64779,-74.0846,1,105,2.3,1,258,144
8,40.66872,-73.95362,2,18,0.4,1,0,40
5,40.75589,-73.99729,1,0,0.0,1,0,340
6,40.72917,-73.98517,1,27,0.59,2,0,180
10,40.79802,-73.94003,4,162,3.55,1,60,75
8,40.67455,-73.93968,4,56,1.23,1,343,80
72,40.67521,-74.01103,3,7,0.16,1,0,352
14,40.76685,-73.91762,2,62,1.37,3,67,69
7,40.76517,-73.96665,2,134,2.95,1,36,150
29,40.73008,-74.0005,1,0,0.0,1,0,500
55,40.69162,-73.99252,30,6,0.14,1,0,250
6,40.72756,-73.98588,4,2,0.05,2,0,280
19,40.69589,-73.96261,3,16,0.37,1,0,55
44,40.74921,-73.9037,1,3,0.07,3,65,50
0,40.71764,-73.95689,1,1,0.02,1,0,49
22,40.67786,-73.97412,4,0,0.0,2,0,135
3,40.69784,-73.9284,4,2,0.05,1,0,45
70,40.68879,-73.98127,1,68,1.49,1,74,150
0,40.71006,-73.95726,3,1,0.03,1,0,120
33,40.72214,-73.99793,2,89,1.94,1,55,150
1,40.68552,-73.95328,30,143,3.17,1,221,120
35,40.81281,-73.95882,14,3,0.07,1,0,80
2,40.80171,-73.95303,5,78,2.32,1,30,60
14,40.76258,-73.92141,3,1,0.02,2,36,70
5,40.76069,-73.99068,2,163,4.18,1,118,239
4,40.77866,-73.98065,1,0,0.0,1,0,275
21,40.66301,-73.95487,2,58,1.5,1,279,89
22,40.67858,-73.97902,1,0,0.0,1,0,300
15,40.84957,-73.93959,3,6,0.13,1,0,50
83,40.73977,-73.85777,1,34,0.76,4,362,37
16,40.73464,-74.00084,1,272,5.98,1,305,239
0,40.71186,-73.95098,4,0,0.0,1,0,190
1,40.67912,-73.9506,4,12,0.27,2,0,150
7,40.77065,-73.95205,1,1,0.02,1,0,150
8,40.67017,-73.94852,3,12,0.37,3,261,360
7,40.77127,-73.95175,7,90,1.97,2,23,115
13,40.71848,-73.99091,1,2,0.04,1,0,150
13,40.72135,-73.98915,4,84,2.16,1,88,207
14,40.76914,-73.92118,2,240,5.22,1,298,120
17,40.7083,-74.00415,7,1,0.03,1,0,160
88,40.72001,-73.75402,2,57,1.26,1,317,85
72,40.67916,-74.00467,1,2,0.04,1,0,100
18,40.65336,-73.95305,2,3,0.69,1,249,45
45,40.6787,-73.99857,5,79,1.72,1,271,160
43,40.74073,-73.87591,29,1,0.77,37,30,40
22,40.67397,-73.98237,2,43,0.94,2,283,49
1,40.69333,-73.94184,1,0,0.0,1,0,40
26,40.74262,-73.98063,15,4,0.09,1,0,495
11,40.72014,-73.95496,3,19,0.42,3,76,89
4,40.78709,-73.97755,3,7,0.16,2,4,220
6,40.72781,-73.98398,2,78,1.71,1,363,99
6,40.72979,-73.98905,1,0,0.0,1,0,160
8,40.67589,-73.95196,5,2,0.04,1,0,80
0,40.71872,-73.9603,2,23,0.51,1,0,78
0,40.70828,-73.94572,1,1,0.02,1,0,110
2,40.80449,-73.94743,31,31,0.69,1,66,130
7,40.76643,-73.95809,1,2,0.05,1,0,150
88,40.71412,-73.73008,1,113,2.79,1,346,59
0,40.7172,-73.95983,9,1,0.02,1,0,80
2,40.80316,-73.95447,3,1,0.02,1,0,80
6,40.72976,-73.98245,2,8,0.18,1,0,160
1,40.68233,-73.91001,1,87,1.9,1,0,45
7,40.78406,-73.95294,14,1,0.02,1,0,94
14,40.7571,-73.92792,1,254,5.61,3,11,77
22,40.67374,-73.97976,6,108,2.38,1,268,149
1,40.68222,-73.95284,7,2,0.04,1,0,130
14,40.75758,-73.9206,3,2,0.19,1,5,57
0,40.70821,-73.95187,5,9,0.2,1,0,150
48,40.75167,-73.89171,4,6,0.13,1,249,55
17,40.70428,-74.01067,2,3,0.07,1,0,127
58,40.6328,-74.02748,2,20,0.44,1,363,60
15,40.85289,-73.93508,1,16,0.36,2,249,64
8,40.677,-73.92363,1,22,0.5,3,67,40
15,40.85041,-73.92645,3,122,2.68,1,199,50
50,40.68522,-73.97856,1,202,4.53,4,0,83
11,40.72714,-73.95088,1,3,0.11,1,0,200
2,40.82305,-73.94555,14,25,0.55,2,276,49
50,40.68477,-73.97833,1,194,4.29,4,0,60
48,40.74766,-73.88949,20,1,0.03,1,0,45
4,40.78322,-73.97435,1,2,0.04,1,0,180
3,40.69428,-73.90679,2,4,0.34,1,34,45
58,40.63461,-74.03164,2,101,2.26,1,291,89
1,40.69492,-73.94485,2,1,0.02,1,0,25
0,40.71871,-73.95862,2,53,1.2,1,13,285
4,40.7936,-73.97442,5,91,2.07,1,279,100
20,40.75819,-73.93213,3,1,0.02,1,0,90
133,40.62859,-74.12272,2,131,2.85,1,310,75
14,40.76707,-73.91473,3,1,0.03,1,0,75
9,40.74576,-73.98146,2,150,3.32,1,0,200
53,40.59852,-73.95481,1,116,2.55,5,351,35
6,40.7316,-73.98543,1,9,0.24,3,0,297
3,40.68697,-73.91592,1,0,0.0,1,0,150
30,40.66567,-73.99509,3,116,2.56,1,38,195
3,40.70498,-73.92115,3,4,0.15,1,0,80
8,40.67255,-73.94914,500,10,0.22,1,365,50
5,40.75679,-73.99547,30,18,0.41,4,37,115
22,40.67376,-73.98195,5,4,0.26,2,0,70
8,40.66687,-73.95662,4,13,0.29,1,0,119
121,40.60514,-74.07367,1,26,0.58,1,333,120
0,40.71151,-73.96665,3,0,0.0,1,0,400
9,40.75594,-73.96874,3,8,0.19,1,1,250
137,40.82424,-73.91316,1,0,0.0,1,0,225
15,40.83401,-73.94254,1,1,0.02,1,0,45
5,40.76366,-73.98849,1,0,0.0,1,0,260
15,40.83591,-73.94777,5,3,0.08,2,0,155
26,40.73842,-73.98008,1,1,0.02,1,0,97
37,40.77442,-73.91465,2,4,0.12,1,0,75
7,40.76942,-73.96705,30,7,0.19,12,52,155
5,40.76414,-73.99296,3,6,0.15,2,0,237
0,40.71358,-73.95906,5,0,0.0,1,0,80
51,40.7252,-74.01054,3,8,0.18,1,0,250
27,40.74491,-73.83355,1,27,0.59,3,76,60
134,40.67168,-73.74744,2,54,1.22,5,189,42
5,40.76443,-73.99219,3,17,0.4,2,0,105
5,40.759,-73.98894,1,0,0.0,1,0,300
39,40.668,-73.98702,2,125,2.75,1,177,120
8,40.66882,-73.95396,1,1,0.02,1,0,80
15,40.85845,-73.92861,1,6,0.13,1,0,125
32,40.74454,-73.92394,1,14,0.33,1,0,125
37,40.77114,-73.90968,14,2,0.06,8,317,50
1,40.68861,-73.95548,2,10,0.22,1,0,60
52,40.64272,-73.97418,4,68,1.78,2,267,90
6,40.7229,-73.98313,5,0,0.0,2,0,60
7,40.7644,-73.9693,2,148,3.26,1,216,275
2,40.80706,-73.94665,30,146,3.22,2,44,100
38,40.7599,-73.98542,1,1,0.02,2,0,200
15,40.84874,-73.94202,1,129,3.75,2,299,99
12,40.7411,-74.00184,5,31,0.68,1,0,112
1,40.68978,-73.95826,1,1,0.02,2,0,65
9,40.74509,-73.98268,1,9,0.2,1,0,200
21,40.66159,-73.94129,5,135,2.96,4,102,98
48,40.7553,-73.88702,2,49,1.08,2,356,50
14,40.76512,-73.92431,3,11,0.24,1,0,135
72,40.67807,-74.01397,1,190,4.23,1,188,50
7,40.77858,-73.95059,4,2,0.05,1,0,145
4,40.79494,-73.96545,28,0,0.0,1,365,450
7,40.76574,-73.95875,1,2,0.04,1,0,141
1,40.69473,-73.93437,2,86,1.9,7,316,110
4,40.8005,-73.96211,2,0,0.0,1,0,107
78,40.58176,-73.96264,30,7,0.19,9,284,110
42,40.67475,-73.99707,2,0,0.0,1,365,1000
16,40.73406,-74.00963,2,2,0.05,1,0,299
7,40.775,-73.95071,2,26,0.58,1,42,190
24,40.68601,-73.97813,1,0,0.0,1,0,175
40,40.72143,-73.99427,3,13,0.29,1,0,70
26,40.74279,-73.97833,1,4,0.09,1,0,75
36,40.73438,-73.9853,3,17,0.37,1,0,155
7,40.77243,-73.95016,2,34,0.75,1,0,96
0,40.7171,-73.94289,3,2,0.04,2,0,350
13,40.71971,-73.98494,4,59,1.36,1,2,90
5,40.76302,-73.98833,3,55,1.23,1,46,500
39,40.66852,-73.9895,1,0,0.0,1,0,40
9,40.7675,-73.98228,7,15,0.34,1,0,175
21,40.65949,-73.94852,5,1,0.02,1,0,50
2,40.82248,-73.94891,1,289,6.46,1,217,130
0,40.70696,-73.94349,2,1,0.02,1,0,90
10,40.79699,-73.93882,2,38,0.83,2,270,65
6,40.72895,-73.98789,1,1,0.03,1,0,200
18,40.64201,-73.95425,5,35,0.78,2,98,63
4,40.80093,-73.96308,1,2,0.07,1,0,110
110,40.71065,-73.83015,1,14,0.31,1,90,100
35,40.81669,-73.96029,2,11,0.25,1,188,60
1,40.69053,-73.95632,5,32,0.7,4,0,45
2,40.80864,-73.95007,28,125,2.77,2,29,117
0,40.71104,-73.96113,5,10,0.23,1,32,175
53,40.58599,-73.92762,1,1,0.02,1,365,2000
18,40.65315,-73.95538,1,0,0.0,1,0,60
9,40.75531,-73.9655,1,30,0.84,1,16,148
88,40.71341,-73.74804,1,0,0.0,1,0,65
3,40.70076,-73.92828,4,0,0.0,1,0,150
21,40.65973,-73.94826,1,5,0.22,1,89,100
5,40.76612,-73.98545,30,3,0.07,15,336,200
2,40.80745,-73.9418,2,1,0.04,1,0,650
31,40.71569,-73.99174,2,18,1.28,1,1,199
9,40.7569,-73.96408,30,1,0.03,52,341,115
16,40.73631,-74.00611,3,51,1.12,1,0,245
37,40.77058,-73.91091,6,57,1.33,8,275,187
2,40.8186,-73.94413,2,24,0.53,1,39,88
4,40.77812,-73.98067,1,1,0.02,1,0,280
12,40.74043,-73.99913,1,0,0.0,1,0,200
2,40.81132,-73.94496,2,1,0.02,1,0,95
6,40.72774,-73.97934,2,170,3.85,1,236,260
7,40.76127,-73.95815,2,1,0.02,1,0,148
9,40.75618,-73.966,30,2,0.05,52,365,100
2,40.82219,-73.9448,1,58,1.27,1,78,100
15,40.8465,-73.94319,1,0,0.0,1,0,60
2,40.81146,-73.94589,3,142,3.12,2,210,64
45,40.67763,-73.99628,2,30,0.67,2,80,125
84,40.86711,-73.89525,1,0,0.0,1,0,65
2,40.81925,-73.94073,2,4,0.11,1,0,110
6,40.73138,-73.99002,1,0,0.0,1,0,745
7,40.76942,-73.96614,30,5,0.15,12,0,140
11,40.72604,-73.95536,1,9,0.2,1,0,35
48,40.75115,-73.8939,3,91,2.11,2,50,85
25,40.7494,-73.97823,1,4,0.09,1,0,111
33,40.72613,-74.00826,90,5,0.11,1,365,399
83,40.74049,-73.85607,1,39,0.87,4,351,40
29,40.73076,-73.99567,1,0,0.0,1,0,300
1,40.68928,-73.95976,5,12,0.28,2,189,180
31,40.71319,-73.99265,1,1,0.02,1,0,100
0,40.70894,-73.94554,2,198,4.48,1,92,150
31,40.7182,-73.99562,1,52,1.14,2,276,63
15,40.84478,-73.94132,1,1,0.02,1,0,175
3,40.69911,-73.91601,3,17,0.38,1,0,84
142,40.85311,-73.90861,2,103,2.27,2,282,33
8,40.67553,-73.94195,5,1,0.02,1,35,50
8,40.67869,-73.95498,1,1,0.02,1,0,75
26,40.74433,-73.97769,2,10,0.22,1,256,125
0,40.70353,-73.93482,7,16,0.49,1,1,140
30,40.64962,-74.0035,5,0,0.0,1,0,85
45,40.67778,-73.9952,1,50,1.46,5,365,250
3,40.70021,-73.92241,3,1,0.02,1,0,60
1,40.69348,-73.95472,1,0,0.0,1,0,45
6,40.73046,-73.98094,7,0,0.0,1,0,395
41,40.86729,-73.92716,1,49,1.23,1,16,140
4,40.77874,-73.98437,5,15,0.35,1,0,190
1,40.6775,-73.92584,2,166,3.66,1,38,91
1,40.6945,-73.93113,4,34,0.75,2,105,40
9,40.75417,-73.97279,1,0,0.0,1,0,135
8,40.68003,-73.96123,1,0,0.0,1,0,50
14,40.76196,-73.924,3,7,0.15,1,0,72
1,40.68967,-73.93381,3,115,2.83,1,49,130
34,40.68078,-73.96816,1,6,0.13,1,0,90
17,40.70867,-74.0003,15,2,0.06,3,313,100
10,40.80275,-73.93904,1,225,4.95,4,0,150
31,40.71591,-73.99488,10,32,0.74,1,144,62
5,40.75902,-73.99112,7,5,0.11,1,0,100
10,40.80109,-73.93887,1,207,4.55,4,0,150
2,40.81057,-73.94565,2,3,0.11,1,6,95
0,40.7057,-73.94258,1,8,0.19,2,0,170
18,40.63976,-73.96419,7,16,0.39,4,130,40
3,40.69036,-73.91608,9,23,0.53,8,135,54
3,40.70438,-73.92117,1,4,0.12,1,0,30
2,40.80281,-73.94644,6,51,1.13,2,66,150
9,40.75606,-73.97004,2,33,0.73,1,7,250
0,40.70548,-73.93698,1,1,0.02,4,0,50
22,40.67424,-73.97717,1,1,0.02,1,0,120
36,40.73563,-73.98801,30,3,0.15,2,346,410
3,40.69609,-73.92369,45,3,0.07,1,21,73
12,40.7442,-74.00123,1,1,0.02,1,0,250
9,40.74867,-73.96734,80,0,0.0,121,365,1170
16,40.73523,-74.00607,2,2,0.04,1,0,250
6,40.73128,-73.98596,1,6,0.13,3,0,139
13,40.71292,-73.98496,5,11,0.28,1,0,149
5,40.7567,-73.99277,2,241,5.65,1,22,185
38,40.76268,-73.98407,5,10,0.23,1,0,230
5,40.76455,-73.99297,1,49,1.11,1,4,175
4,40.78481,-73.97414,2,1,0.02,1,0,150
0,40.71554,-73.96246,1,264,5.85,2,47,325
47,40.66586,-73.89443,4,0,0.0,1,270,100
10,40.79333,-73.94274,1,0,0.0,1,0,50
15,40.84121,-73.93881,12,27,0.67,3,88,80
1,40.68691,-73.93294,28,29,0.65,1,268,135
57,40.73122,-73.85302,60,3,0.08,1,0,32
13,40.71963,-73.98499,4,196,4.3,1,125,261
21,40.65685,-73.95688,3,0,0.0,1,0,60
8,40.67722,-73.95305,2,91,2.06,4,228,57
10,40.8081,-73.93807,2,62,1.62,1,231,225
11,40.72922,-73.95134,3,1,0.02,1,0,200
94,40.70302,-73.89499,2,0,0.0,1,0,115
7,40.769,-73.9541,2,5,0.11,1,0,200
13,40.72159,-73.99234,6,0,0.0,1,0,699
21,40.66089,-73.93993,2,81,1.79,4,131,65
11,40.72311,-73.93819,2,1,0.02,2,0,150
5,40.76206,-73.9937,3,3,0.07,2,0,375
4,40.78698,-73.97005,3,0,0.0,1,0,175
1,40.69937,-73.94447,1,9,0.27,1,0,45
4,40.79221,-73.96588,3,2,0.04,1,0,225
33,40.72549,-74.00523,10,31,0.71,1,55,165
12,40.74336,-73.99706,1,0,0.0,1,0,250
0,40.71097,-73.95886,7,2,0.04,1,0,1150
1,40.6802,-73.95768,3,1,0.03,1,0,85
22,40.67129,-73.98277,2,0,0.0,1,0,135
10,40.79037,-73.9445,1,2,0.04,1,0,125
182,40.60597,-74.06208,1,0,0.0,1,0,300
50,40.68338,-73.98231,4,0,0.0,1,0,120
0,40.70658,-73.94413,1,2,0.05,1,0,100
